year,event,experiment,intensity
1933,wildfire,abrupt-4xCO2,0.19637029
1934,wildfire,abrupt-4xCO2,0.19894493
1935,wildfire,abrupt-4xCO2,0.19685343
1936,wildfire,abrupt-4xCO2,0.19760455
1937,wildfire,abrupt-4xCO2,0.19841088
1938,wildfire,abrupt-4xCO2,0.19854857
1939,wildfire,abrupt-4xCO2,0.19613661
1940,wildfire,abrupt-4xCO2,0.19664472
1941,wildfire,abrupt-4xCO2,0.19709085
1942,wildfire,abrupt-4xCO2,0.19754913
1943,wildfire,abrupt-4xCO2,0.19869754
1944,wildfire,abrupt-4xCO2,0.1984303
1945,wildfire,abrupt-4xCO2,0.19731991
1946,wildfire,abrupt-4xCO2,0.19856313
1947,wildfire,abrupt-4xCO2,0.19713098
1948,wildfire,abrupt-4xCO2,0.19878457
1949,wildfire,abrupt-4xCO2,0.19743305
1950,wildfire,abrupt-4xCO2,0.19627857
1951,wildfire,abrupt-4xCO2,0.19820385
1952,wildfire,abrupt-4xCO2,0.19767696
1953,wildfire,abrupt-4xCO2,0.19571362
1954,wildfire,abrupt-4xCO2,0.19647688
1955,wildfire,abrupt-4xCO2,0.19775449
1956,wildfire,abrupt-4xCO2,0.19714363
1957,wildfire,abrupt-4xCO2,0.19709879
1958,wildfire,abrupt-4xCO2,0.19825213
1959,wildfire,abrupt-4xCO2,0.19633864
1960,wildfire,abrupt-4xCO2,0.19800389
1961,wildfire,abrupt-4xCO2,0.19588223
1962,wildfire,abrupt-4xCO2,0.19766928
1963,wildfire,abrupt-4xCO2,0.19767
1964,wildfire,abrupt-4xCO2,0.19862093
1965,wildfire,abrupt-4xCO2,0.19716607
1966,wildfire,abrupt-4xCO2,0.19667313
1967,wildfire,abrupt-4xCO2,0.1973817
1968,wildfire,abrupt-4xCO2,0.19529794
1969,wildfire,abrupt-4xCO2,0.19789688
1970,wildfire,abrupt-4xCO2,0.19772972
1971,wildfire,abrupt-4xCO2,0.19717136
1972,wildfire,abrupt-4xCO2,0.19684456
1973,wildfire,abrupt-4xCO2,0.19778723
1974,wildfire,abrupt-4xCO2,0.19781218
1975,wildfire,abrupt-4xCO2,0.19679652
1976,wildfire,abrupt-4xCO2,0.19377506
1977,wildfire,abrupt-4xCO2,0.19681035
1978,wildfire,abrupt-4xCO2,0.19824305
1979,wildfire,abrupt-4xCO2,0.195002
1980,wildfire,abrupt-4xCO2,0.19822843
1981,wildfire,abrupt-4xCO2,0.19759876
1982,wildfire,abrupt-4xCO2,0.19643003
1983,wildfire,abrupt-4xCO2,0.19693163
1984,wildfire,abrupt-4xCO2,0.19874045
1985,wildfire,abrupt-4xCO2,0.19786984
1986,wildfire,abrupt-4xCO2,0.1967431
1987,wildfire,abrupt-4xCO2,0.1971475
1988,wildfire,abrupt-4xCO2,0.19717321
1989,wildfire,abrupt-4xCO2,0.19708523
1990,wildfire,abrupt-4xCO2,0.19702001
1991,wildfire,abrupt-4xCO2,0.19742931
1992,wildfire,abrupt-4xCO2,0.19829144
1993,wildfire,abrupt-4xCO2,0.19755335
1994,wildfire,abrupt-4xCO2,0.1981158
1995,wildfire,abrupt-4xCO2,0.19747832
1996,wildfire,abrupt-4xCO2,0.19762947
1997,wildfire,abrupt-4xCO2,0.19802877
1998,wildfire,abrupt-4xCO2,0.19592911
1999,wildfire,abrupt-4xCO2,0.19832225
2000,wildfire,abrupt-4xCO2,0.19694485
1850,snow,abrupt-4xCO2,0.015036298
1851,snow,abrupt-4xCO2,0.015174858
1852,snow,abrupt-4xCO2,0.0154184075
1853,snow,abrupt-4xCO2,0.015078394
1854,snow,abrupt-4xCO2,0.015607456
1855,snow,abrupt-4xCO2,0.015021818
1856,snow,abrupt-4xCO2,0.014473327
1857,snow,abrupt-4xCO2,0.014389715
1858,snow,abrupt-4xCO2,0.01417014
1859,snow,abrupt-4xCO2,0.013951351
1860,snow,abrupt-4xCO2,0.015006267
1861,snow,abrupt-4xCO2,0.014657819
1862,snow,abrupt-4xCO2,0.014538948
1863,snow,abrupt-4xCO2,0.014637439
1864,snow,abrupt-4xCO2,0.014146988
1865,snow,abrupt-4xCO2,0.014595166
1866,snow,abrupt-4xCO2,0.014867553
1867,snow,abrupt-4xCO2,0.0147368675
1868,snow,abrupt-4xCO2,0.014699084
1869,snow,abrupt-4xCO2,0.014843819
1870,snow,abrupt-4xCO2,0.014633909
1871,snow,abrupt-4xCO2,0.014674037
1872,snow,abrupt-4xCO2,0.014465335
1873,snow,abrupt-4xCO2,0.014612245
1874,snow,abrupt-4xCO2,0.0147424
1875,snow,abrupt-4xCO2,0.015029038
1876,snow,abrupt-4xCO2,0.014894947
1877,snow,abrupt-4xCO2,0.014616081
1878,snow,abrupt-4xCO2,0.014062147
1879,snow,abrupt-4xCO2,0.015340864
1880,snow,abrupt-4xCO2,0.014022445
1881,snow,abrupt-4xCO2,0.014515858
1882,snow,abrupt-4xCO2,0.015179358
1883,snow,abrupt-4xCO2,0.014376665
1884,snow,abrupt-4xCO2,0.014359721
1885,snow,abrupt-4xCO2,0.015537012
1886,snow,abrupt-4xCO2,0.014650656
1887,snow,abrupt-4xCO2,0.014702729
1888,snow,abrupt-4xCO2,0.015171661
1889,snow,abrupt-4xCO2,0.014446112
1890,snow,abrupt-4xCO2,0.0150027145
1891,snow,abrupt-4xCO2,0.014390853
1892,snow,abrupt-4xCO2,0.014722393
1893,snow,abrupt-4xCO2,0.015465251
1894,snow,abrupt-4xCO2,0.014626446
1895,snow,abrupt-4xCO2,0.014653453
1896,snow,abrupt-4xCO2,0.01445847
1897,snow,abrupt-4xCO2,0.014693758
1898,snow,abrupt-4xCO2,0.014879208
1899,snow,abrupt-4xCO2,0.014725064
1900,snow,abrupt-4xCO2,0.014720766
1901,snow,abrupt-4xCO2,0.015021601
1902,snow,abrupt-4xCO2,0.01547297
1903,snow,abrupt-4xCO2,0.015037387
1904,snow,abrupt-4xCO2,0.01498876
1905,snow,abrupt-4xCO2,0.014827768
1906,snow,abrupt-4xCO2,0.015235942
1907,snow,abrupt-4xCO2,0.015302689
1908,snow,abrupt-4xCO2,0.015111945
1909,snow,abrupt-4xCO2,0.015040345
1910,snow,abrupt-4xCO2,0.014796908
1911,snow,abrupt-4xCO2,0.014518943
1912,snow,abrupt-4xCO2,0.015416198
1913,snow,abrupt-4xCO2,0.014988152
1914,snow,abrupt-4xCO2,0.014440599
1915,snow,abrupt-4xCO2,0.014785369
1916,snow,abrupt-4xCO2,0.014634953
1917,snow,abrupt-4xCO2,0.014390468
1918,snow,abrupt-4xCO2,0.014754675
1919,snow,abrupt-4xCO2,0.015335587
1920,snow,abrupt-4xCO2,0.014585976
1921,snow,abrupt-4xCO2,0.0150930425
1922,snow,abrupt-4xCO2,0.015063505
1923,snow,abrupt-4xCO2,0.014788239
1924,snow,abrupt-4xCO2,0.014692517
1925,snow,abrupt-4xCO2,0.015355737
1926,snow,abrupt-4xCO2,0.014845838
1927,snow,abrupt-4xCO2,0.015342435
1928,snow,abrupt-4xCO2,0.014858711
1929,snow,abrupt-4xCO2,0.014963653
1930,snow,abrupt-4xCO2,0.015025991
1931,snow,abrupt-4xCO2,0.01446853
1932,snow,abrupt-4xCO2,0.014481581
1933,snow,abrupt-4xCO2,0.014751609
1934,snow,abrupt-4xCO2,0.015025455
1935,snow,abrupt-4xCO2,0.014816432
1936,snow,abrupt-4xCO2,0.014977182
1937,snow,abrupt-4xCO2,0.014723168
1938,snow,abrupt-4xCO2,0.015157431
1939,snow,abrupt-4xCO2,0.01500629
1940,snow,abrupt-4xCO2,0.014165394
1941,snow,abrupt-4xCO2,0.01479817
1942,snow,abrupt-4xCO2,0.014929802
1943,snow,abrupt-4xCO2,0.014769493
1944,snow,abrupt-4xCO2,0.014957908
1945,snow,abrupt-4xCO2,0.014446316
1946,snow,abrupt-4xCO2,0.014747594
1947,snow,abrupt-4xCO2,0.014776706
1948,snow,abrupt-4xCO2,0.014645168
1949,snow,abrupt-4xCO2,0.014392894
1950,snow,abrupt-4xCO2,0.014920159
1951,snow,abrupt-4xCO2,0.0152224675
1952,snow,abrupt-4xCO2,0.014706972
1953,snow,abrupt-4xCO2,0.014177188
1954,snow,abrupt-4xCO2,0.0149586685
1955,snow,abrupt-4xCO2,0.014574239
1956,snow,abrupt-4xCO2,0.014259126
1957,snow,abrupt-4xCO2,0.014778479
1958,snow,abrupt-4xCO2,0.014817704
1959,snow,abrupt-4xCO2,0.014759582
1960,snow,abrupt-4xCO2,0.014201578
1961,snow,abrupt-4xCO2,0.0145811215
1962,snow,abrupt-4xCO2,0.014456152
1963,snow,abrupt-4xCO2,0.014525707
1964,snow,abrupt-4xCO2,0.014506144
1965,snow,abrupt-4xCO2,0.014369578
1966,snow,abrupt-4xCO2,0.014756893
1967,snow,abrupt-4xCO2,0.014735994
1968,snow,abrupt-4xCO2,0.014769897
1969,snow,abrupt-4xCO2,0.01377104
1970,snow,abrupt-4xCO2,0.015196737
1971,snow,abrupt-4xCO2,0.014719527
1972,snow,abrupt-4xCO2,0.014623161
1973,snow,abrupt-4xCO2,0.014179078
1974,snow,abrupt-4xCO2,0.014530048
1975,snow,abrupt-4xCO2,0.014328818
1976,snow,abrupt-4xCO2,0.014616295
1977,snow,abrupt-4xCO2,0.014563106
1978,snow,abrupt-4xCO2,0.014728287
1979,snow,abrupt-4xCO2,0.014889899
1980,snow,abrupt-4xCO2,0.013943954
1981,snow,abrupt-4xCO2,0.014633431
1982,snow,abrupt-4xCO2,0.014171358
1983,snow,abrupt-4xCO2,0.014266603
1984,snow,abrupt-4xCO2,0.014074811
1985,snow,abrupt-4xCO2,0.014668865
1986,snow,abrupt-4xCO2,0.0146907475
1987,snow,abrupt-4xCO2,0.014629006
1988,snow,abrupt-4xCO2,0.014632413
1989,snow,abrupt-4xCO2,0.014239205
1990,snow,abrupt-4xCO2,0.014970842
1991,snow,abrupt-4xCO2,0.014654132
1992,snow,abrupt-4xCO2,0.014443733
1993,snow,abrupt-4xCO2,0.014526603
1994,snow,abrupt-4xCO2,0.0148777515
1995,snow,abrupt-4xCO2,0.014413494
1996,snow,abrupt-4xCO2,0.0141061125
1997,snow,abrupt-4xCO2,0.014622614
1998,snow,abrupt-4xCO2,0.014191836
1999,snow,abrupt-4xCO2,0.014321692
2000,snow,abrupt-4xCO2,0.014529274
1850,sea_level,abrupt-4xCO2,0.5053168
1851,sea_level,abrupt-4xCO2,0.51196605
1852,sea_level,abrupt-4xCO2,0.5189871
1853,sea_level,abrupt-4xCO2,0.5223094
1854,sea_level,abrupt-4xCO2,0.5245471
1855,sea_level,abrupt-4xCO2,0.52617157
1856,sea_level,abrupt-4xCO2,0.52693176
1857,sea_level,abrupt-4xCO2,0.52874494
1858,sea_level,abrupt-4xCO2,0.5275361
1859,sea_level,abrupt-4xCO2,0.5299268
1860,sea_level,abrupt-4xCO2,0.53292173
1861,sea_level,abrupt-4xCO2,0.53202224
1862,sea_level,abrupt-4xCO2,0.5337284
1863,sea_level,abrupt-4xCO2,0.5331099
1864,sea_level,abrupt-4xCO2,0.53346556
1865,sea_level,abrupt-4xCO2,0.5337093
1866,sea_level,abrupt-4xCO2,0.53458935
1867,sea_level,abrupt-4xCO2,0.5367887
1868,sea_level,abrupt-4xCO2,0.53543794
1869,sea_level,abrupt-4xCO2,0.5362224
1870,sea_level,abrupt-4xCO2,0.53751445
1871,sea_level,abrupt-4xCO2,0.5351491
1872,sea_level,abrupt-4xCO2,0.5367543
1873,sea_level,abrupt-4xCO2,0.53831077
1874,sea_level,abrupt-4xCO2,0.5391885
1875,sea_level,abrupt-4xCO2,0.53756666
1876,sea_level,abrupt-4xCO2,0.5390741
1877,sea_level,abrupt-4xCO2,0.5383657
1878,sea_level,abrupt-4xCO2,0.5393748
1879,sea_level,abrupt-4xCO2,0.54016674
1880,sea_level,abrupt-4xCO2,0.5408795
1881,sea_level,abrupt-4xCO2,0.5385497
1882,sea_level,abrupt-4xCO2,0.5410417
1883,sea_level,abrupt-4xCO2,0.5414709
1884,sea_level,abrupt-4xCO2,0.53969616
1885,sea_level,abrupt-4xCO2,0.54163504
1886,sea_level,abrupt-4xCO2,0.5414014
1887,sea_level,abrupt-4xCO2,0.542138
1888,sea_level,abrupt-4xCO2,0.54284775
1889,sea_level,abrupt-4xCO2,0.54195726
1890,sea_level,abrupt-4xCO2,0.54342055
1891,sea_level,abrupt-4xCO2,0.54206496
1892,sea_level,abrupt-4xCO2,0.54349256
1893,sea_level,abrupt-4xCO2,0.54272544
1894,sea_level,abrupt-4xCO2,0.5439197
1895,sea_level,abrupt-4xCO2,0.5447119
1896,sea_level,abrupt-4xCO2,0.54512674
1897,sea_level,abrupt-4xCO2,0.5460914
1898,sea_level,abrupt-4xCO2,0.5453154
1899,sea_level,abrupt-4xCO2,0.54691213
1900,sea_level,abrupt-4xCO2,0.54501975
1901,sea_level,abrupt-4xCO2,0.54689
1902,sea_level,abrupt-4xCO2,0.54828805
1903,sea_level,abrupt-4xCO2,0.547597
1904,sea_level,abrupt-4xCO2,0.5469685
1905,sea_level,abrupt-4xCO2,0.5485142
1906,sea_level,abrupt-4xCO2,0.54849875
1907,sea_level,abrupt-4xCO2,0.54953736
1908,sea_level,abrupt-4xCO2,0.5486098
1909,sea_level,abrupt-4xCO2,0.54828316
1910,sea_level,abrupt-4xCO2,0.5480636
1911,sea_level,abrupt-4xCO2,0.54808736
1912,sea_level,abrupt-4xCO2,0.54990363
1913,sea_level,abrupt-4xCO2,0.55064434
1914,sea_level,abrupt-4xCO2,0.54850334
1915,sea_level,abrupt-4xCO2,0.5501182
1916,sea_level,abrupt-4xCO2,0.5491142
1917,sea_level,abrupt-4xCO2,0.5510473
1918,sea_level,abrupt-4xCO2,0.55256116
1919,sea_level,abrupt-4xCO2,0.55138993
1920,sea_level,abrupt-4xCO2,0.55234814
1921,sea_level,abrupt-4xCO2,0.55304897
1922,sea_level,abrupt-4xCO2,0.55444115
1923,sea_level,abrupt-4xCO2,0.55188304
1924,sea_level,abrupt-4xCO2,0.55305964
1925,sea_level,abrupt-4xCO2,0.55365366
1926,sea_level,abrupt-4xCO2,0.55200386
1927,sea_level,abrupt-4xCO2,0.5545593
1928,sea_level,abrupt-4xCO2,0.5541371
1929,sea_level,abrupt-4xCO2,0.553433
1930,sea_level,abrupt-4xCO2,0.55301505
1931,sea_level,abrupt-4xCO2,0.55482835
1932,sea_level,abrupt-4xCO2,0.55575746
1933,sea_level,abrupt-4xCO2,0.5558316
1934,sea_level,abrupt-4xCO2,0.55652255
1935,sea_level,abrupt-4xCO2,0.5555702
1936,sea_level,abrupt-4xCO2,0.5559132
1937,sea_level,abrupt-4xCO2,0.5567112
1938,sea_level,abrupt-4xCO2,0.5568675
1939,sea_level,abrupt-4xCO2,0.55757403
1940,sea_level,abrupt-4xCO2,0.55843973
1941,sea_level,abrupt-4xCO2,0.55813736
1942,sea_level,abrupt-4xCO2,0.56082493
1943,sea_level,abrupt-4xCO2,0.5604983
1944,sea_level,abrupt-4xCO2,0.56133
1945,sea_level,abrupt-4xCO2,0.56101644
1946,sea_level,abrupt-4xCO2,0.561056
1947,sea_level,abrupt-4xCO2,0.56201917
1948,sea_level,abrupt-4xCO2,0.56414235
1949,sea_level,abrupt-4xCO2,0.5601845
1950,sea_level,abrupt-4xCO2,0.5617635
1951,sea_level,abrupt-4xCO2,0.56206715
1952,sea_level,abrupt-4xCO2,0.5622523
1953,sea_level,abrupt-4xCO2,0.5623106
1954,sea_level,abrupt-4xCO2,0.56220084
1955,sea_level,abrupt-4xCO2,0.56349975
1956,sea_level,abrupt-4xCO2,0.5632745
1957,sea_level,abrupt-4xCO2,0.56369025
1958,sea_level,abrupt-4xCO2,0.5657705
1959,sea_level,abrupt-4xCO2,0.56424767
1960,sea_level,abrupt-4xCO2,0.56638026
1961,sea_level,abrupt-4xCO2,0.5660915
1962,sea_level,abrupt-4xCO2,0.5664482
1963,sea_level,abrupt-4xCO2,0.5637235
1964,sea_level,abrupt-4xCO2,0.56432253
1965,sea_level,abrupt-4xCO2,0.56741947
1966,sea_level,abrupt-4xCO2,0.56643826
1967,sea_level,abrupt-4xCO2,0.5680518
1968,sea_level,abrupt-4xCO2,0.5673582
1969,sea_level,abrupt-4xCO2,0.56847966
1970,sea_level,abrupt-4xCO2,0.5672599
1971,sea_level,abrupt-4xCO2,0.5687482
1972,sea_level,abrupt-4xCO2,0.5689191
1973,sea_level,abrupt-4xCO2,0.570162
1974,sea_level,abrupt-4xCO2,0.5702734
1975,sea_level,abrupt-4xCO2,0.5715229
1976,sea_level,abrupt-4xCO2,0.5695836
1977,sea_level,abrupt-4xCO2,0.57028764
1978,sea_level,abrupt-4xCO2,0.5706241
1979,sea_level,abrupt-4xCO2,0.5704539
1980,sea_level,abrupt-4xCO2,0.5718165
1981,sea_level,abrupt-4xCO2,0.5703485
1982,sea_level,abrupt-4xCO2,0.5723517
1983,sea_level,abrupt-4xCO2,0.5698098
1984,sea_level,abrupt-4xCO2,0.57132745
1985,sea_level,abrupt-4xCO2,0.5723025
1986,sea_level,abrupt-4xCO2,0.573266
1987,sea_level,abrupt-4xCO2,0.5733637
1988,sea_level,abrupt-4xCO2,0.5729093
1989,sea_level,abrupt-4xCO2,0.5745149
1990,sea_level,abrupt-4xCO2,0.5743622
1991,sea_level,abrupt-4xCO2,0.5739565
1992,sea_level,abrupt-4xCO2,0.5754127
1993,sea_level,abrupt-4xCO2,0.57324594
1994,sea_level,abrupt-4xCO2,0.57400715
1995,sea_level,abrupt-4xCO2,0.575202
1996,sea_level,abrupt-4xCO2,0.575892
1997,sea_level,abrupt-4xCO2,0.576232
1998,sea_level,abrupt-4xCO2,0.5757355
1999,sea_level,abrupt-4xCO2,0.5755212
2000,sea_level,abrupt-4xCO2,0.57681406
